session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Computer operating system,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
608ab33b80ac4de7b262bcbf,605855fceb88686c91706dbd,APPROVED,2021-04-29 13:23:07.507000,2021-04-29 13:38:12.063000,904.556,19,20,1,97,2021-04-30 08:06:01.072000,72B34593,Windows 10 Home Edition,Poland,Poland,Unemployed (and job seeking),,English,Poland,Male,Yes
608ab33bc9111f777b16bf01,5d9990363342a002b765ad1d,APPROVED,2021-04-29 13:23:07.159000,2021-04-29 13:40:16.230000,1029.071,42,344,6,97,2021-04-30 08:12:39.749000,72B34593,Chrome OS,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Female,No
608ab4bf0a464b9f12e971a8,5ee379c2c1832e050bac5c14,APPROVED,2021-04-29 13:29:35.987000,2021-04-29 13:44:19.335000,883.348,36,511,2,100,2021-04-30 08:12:39.235000,72B34593,Windows 10 Home Edition,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
608abe0d815cbbcd7543dd35,606176e0934e2df7172acdad,APPROVED,2021-04-29 14:09:52.941000,2021-04-29 14:25:03.531000,910.59,32,35,0,100,2021-04-30 08:05:58.147000,72B34593,Windows 10 Home Edition,Spain,United Kingdom,Full-Time,,"Galician, Spanish, English, Portuguese",Spain,Female,No
608abe17036abbf6d586abde,603bd4a59450778e3c075ea5,APPROVED,2021-04-29 14:09:27.545000,2021-04-29 14:24:43.978000,916.433,20,39,0,100,2021-04-30 08:12:36.678000,72B34593,Windows 10 (Unsure of the edition),Spain,Spain,Part-Time,DATA EXPIRED,"English, Spanish",Spain,Female,Yes
608abe205cafe74d514f06b0,5d2759b64e5e3c00164fe922,APPROVED,2021-04-29 14:09:36.639000,2021-04-29 14:26:06.420000,989.781,19,18,0,100,2021-04-30 08:12:36.532000,72B34593,Windows 10 Home Edition,Hungary,Hungary,Other,Hungarian,"English, Hungarian",Hungary,Male,Yes
608abe20a098abf8f7c93567,6064b45627fb67aea7c5c2c4,APPROVED,2021-04-29 14:09:59.308000,2021-04-29 14:23:22.415000,803.107,37,18,0,100,2021-04-30 08:05:56.012000,NOCODE,Windows 10 Pro Edition,Chile,Chile,Unemployed (and job seeking),,"English, Spanish",Chile,Male,No
608abe220e92ffe4f3b50703,5ec48aac33b93f000ab96b7f,APPROVED,2021-04-29 14:09:38.159000,2021-04-29 14:24:37.289000,899.13,22,109,1,100,2021-04-30 08:12:34.385000,72B34593,Windows 10 Home Edition,Greece,Greece,"Not in paid work (e.g. homemaker', 'retired or disabled)",Greek,"English, Greek, German",Greece,Female,Yes
608abe22c89e7ef2ff2b1188,5ea84c88ea131626bbcc6dbf,APPROVED,2021-04-29 14:09:38.483000,2021-04-29 14:23:57.420000,858.937,20,151,1,100,2021-04-30 08:12:34.287000,72B34593,Windows 10 Home Edition,Czech Republic,Czech Republic,Unemployed (and job seeking),Czech,"Czech, English",Czech Republic,Male,Yes
608abe2301611e58100ad5e0,5ed39d114858d002a0691781,APPROVED,2021-04-29 14:10:58.930000,2021-04-29 14:46:23.015000,2124.085,37,347,0,100,2021-04-30 07:58:15.324000,72B34593,Windows 10 Home Edition,United Kingdom,United Kingdom,Part-Time,English,"English, Spanish",United Kingdom,Female,No
608abe230e7d06d3d7bab31a,5c98310742270c0014d0287a,TIMED-OUT,2021-04-29 14:09:39.754000,,346681.818814,21,161,0,100,,,Windows 10 Home Edition,Canada,Canada,Unemployed (and job seeking),DATA EXPIRED,English,Canada,Male,Yes
608abe231865fa860cb40a6d,60869b8c748fdf54a5065c29,APPROVED,2021-04-29 14:10:12.687000,2021-04-29 14:25:05.253000,892.566,18,6,0,100,2021-04-30 08:05:47.243000,72B34593,Windows 10 Pro Edition,Poland,Poland,"Not in paid work (e.g. homemaker', 'retired or disabled)",,"Polish, English",Poland,Male,Yes
608abe232e8cfa26fbf23d07,603d120a28bb60b9a912484e,APPROVED,2021-04-29 14:10:02.735000,2021-04-29 14:25:06.522000,903.787,22,48,0,100,2021-04-30 08:12:31.979000,72B34593,Windows 10 Home Edition,Poland,Poland,Full-Time,,"English, Polish, Spanish",Poland,Male,Yes
608acb4a275df9a2f32af1ab,5fc26d71c9e79a327ac24f7f,TIMED-OUT,2021-04-29 15:05:46.753000,,343314.846724,22,81,0,100,,,Windows 10 (Unsure of the edition),Portugal,Portugal,Other,DATA EXPIRED,"English, Portuguese",Portugal,Male,Yes
608ad8926a83fa3702ce7c29,5f7f1e4acf7c770505c14357,APPROVED,2021-04-29 16:02:26.134000,2021-04-29 16:20:10.868000,1064.734,24,119,0,100,2021-04-30 08:12:33.155000,72B34593,Ubuntu,Greece,Greece,Full-Time,DATA EXPIRED,"Greek, English, German",Greece,Male,Yes
608bc1d5e8c14973001746a7,5e6a3f5c10df710aea15bea3,TIMED-OUT,2021-04-30 08:37:41.677000,,280199.947766,19,184,7,95,,,Windows 10 Pro Edition,Poland,Poland,Other,Polish,"Polish, English",Poland,Male,Yes
608bc1d7ccaf1cacef3e93ca,5fd7e85fcfda8b0e8dd96807,APPROVED,2021-04-30 08:37:43.759000,2021-04-30 08:52:00.927000,857.168,19,64,1,100,2021-05-03 13:49:17.236000,72B34593,,Italy,Italy,Other,DATA EXPIRED,"Italian, English",Italy,Male,Yes
608bc1d8ab4f8caabadc6a39,600eb129f2232e76d855ab1d,APPROVED,2021-04-30 08:37:49.176000,2021-04-30 08:54:00.307000,971.131,25,37,1,100,2021-05-03 13:49:17.236000,72B34593,Windows 10 (Unsure of the edition),Italy,Italy,"Not in paid work (e.g. homemaker', 'retired or disabled)",,"English, Italian",Italy,Female,Yes
608bc1d92054728a190cce40,5e6934b3d899221f45b2662f,APPROVED,2021-04-30 08:37:45.817000,2021-04-30 08:50:23.355000,757.538,20,28,1,99,2021-05-03 13:49:17.268000,72B34593,Windows 10 Pro Edition,Poland,Poland,Unemployed (and job seeking),Polish,"Polish, English",Poland,Male,Yes
608bc1d92f144e442181cd6d,5e285183476bdb000a1a7986,APPROVED,2021-04-30 08:37:45.666000,2021-04-30 08:51:40.942000,835.276,30,159,2,100,2021-05-03 13:49:18.654000,72B34593,Windows 10 Home Edition,France,Spain,Full-Time,French,"English, French, Spanish",France,Male,No
608bc1d9bbf29aad8c85c480,5adc95a1066c510001d410d7,APPROVED,2021-04-30 08:37:45.176000,2021-04-30 08:53:12.670000,927.494,42,805,7,99,2021-05-03 13:49:19.430000,72B34593,Windows 10 Home Edition,Pakistan,United Kingdom,Full-Time,Urdu,"Arabic, English, Hindi, Urdu",United Kingdom,Male,No
608bc1da4887cb419e8b2846,602155a1bb329e0cd5745a85,APPROVED,2021-04-30 08:37:46.005000,2021-04-30 08:52:52.584000,906.579,40,98,0,100,2021-05-03 13:49:20.709000,72B34593,,Netherlands,Netherlands,Full-Time,DATA EXPIRED,"Arabic, Dutch, German, English",Netherlands,Male,No
608bc1da9c2f787ef3bb2619,5f5c0ef4a9ba113ef22715d2,RETURNED,2021-04-30 08:37:46.446000,,280195.252643,21,110,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608bc1dad42687c3b88831dc,5fb2727f2942a58418fd0d2b,APPROVED,2021-04-30 08:37:52.501000,2021-04-30 08:53:56.905000,964.404,45,108,1,100,2021-05-03 13:50:26.727000,72B34593,Windows 10 Home Edition,South Africa,South Africa,Full-Time,DATA EXPIRED,English,South Africa,Female,No
608bc1dae8c14973001746a8,5cd2e5dc3c43570018b98f0a,APPROVED,2021-04-30 08:42:05.857000,2021-04-30 08:58:56.463000,1010.606,33,791,4,100,2021-05-03 13:50:26.994000,72B34593,Windows 10 Home Edition,South Africa,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
608bc3dcd6ba6d3cef4106ac,5d529bdfb94ec60015dfaed1,APPROVED,2021-04-30 08:46:20.340000,2021-04-30 09:07:14.394000,1254.054,29,355,0,100,2021-05-03 13:50:28.911000,72B34593,Windows 10 Home Edition,Poland,Poland,Full-Time,Polish,"English, Spanish, Polish, Italian",Poland,Male,No
608bd0f0654d13fbee1684c3,5fc0ecf29dac5804b2882b90,APPROVED,2021-04-30 09:42:08.355000,2021-04-30 10:16:24.804000,2056.449,26,29,1,99,2021-05-03 13:50:29.520000,72B34593,,Poland,Poland,Part-Time,,"English, French, German, Polish, Spanish",Poland,Male,Yes
