,id,Browser,n1,n2,n3,n4,e1,e2,e3,e4,a1,a2,a3,a4,1,c1,c2,c3,c4,i1,i2,2,i3,i4,age,sex,country
0,471b4ec247,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4471.0 Safari/537.36 Edg/91.0.864.1",2,3,2,2,1,1,3,2,0,1,3,4,0,0,3,3,0,1,3,4,1,1,19,Male,United Kingdom
0,9720664e0b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",3,3,2,1,2,3,1,4,1,1,4,4,0,0,3,4,1,0,3,4,3,3,19,Female,Poland
0,3cd5c97e68,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36 OPR/75.0.3969.218",3,4,1,0,3,1,3,1,0,0,4,3,0,1,2,3,3,0,3,4,3,1,19,Female,Latvia
0,e860baa399,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",3,4,2,1,1,1,0,4,3,3,2,3,0,0,4,4,1,0,3,4,3,0,19,Male,Poland
0,1f7c826afc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",3,4,4,1,4,1,3,0,3,1,3,3,0,1,1,3,2,0,2,4,4,1,20,Male,Poland
0,6e0fe3c2d8,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:88.0) Gecko/20100101 Firefox/88.0,4,4,0,1,4,0,4,0,1,1,3,3,0,1,2,3,1,2,1,4,3,2,26,Male,Italy
0,ba5e91d26a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",0,3,2,4,0,4,2,3,3,2,3,2,0,3,1,3,0,2,3,4,3,2,22,Male,Portugal
0,820cb369a7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36 OPR/75.0.3969.243",2,3,3,3,4,1,3,1,3,0,3,4,0,2,0,0,3,1,3,4,2,1,18,Male,Poland
0,92169c0408,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36",2,4,3,4,4,0,4,0,3,1,2,3,0,0,1,3,2,4,3,4,1,4,23,Male,Portugal
0,cf226a1de2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36",3,3,0,2,3,1,4,1,1,1,3,3,0,0,0,0,1,2,2,4,3,1,20,Male,Portugal
0,d76db3a982,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",1,2,1,3,3,2,3,2,1,1,3,3,0,2,1,3,3,1,3,4,3,1,23,Male,Poland
0,910fffc8ce,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.438",3,4,2,3,3,4,2,2,4,0,4,3,0,0,1,2,1,1,3,4,3,2,20,Male,Portugal
0,02f2baa5c8,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",1,4,2,1,4,1,4,0,1,1,3,4,0,0,3,4,1,0,4,4,1,0,24,Male,Greece
0,0e4c012835,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",1,4,1,1,2,1,3,3,4,4,1,1,0,3,0,0,3,0,3,4,3,0,28,Male,United Kingdom
0,1ac4515e6f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",0,3,3,4,4,0,2,1,2,3,2,2,0,3,2,1,3,2,2,4,1,2,21,Male,Canada
0,914b72f39b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",1,0,0,0,2,1,2,1,2,1,4,4,0,2,0,1,4,0,2,4,4,0,31,Female,United States
0,aa8e53f74c,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:88.0) Gecko/20100101 Firefox/88.0,1,3,1,2,4,1,4,0,2,0,3,3,0,4,0,0,3,2,3,4,4,0,26,Female,Italy
0,9dee5e785f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",3,3,2,3,1,1,2,2,1,3,2,3,0,3,2,1,3,1,3,4,3,3,29,Male,Netherlands
0,56068c2fe6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",0,1,3,4,1,3,0,3,0,1,4,3,0,1,3,2,2,1,4,4,2,1,20,Male,Czech Republic
0,418eb74283,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:88.0) Gecko/20100101 Firefox/88.0,4,4,0,1,3,2,1,3,1,0,4,3,0,1,4,3,3,1,3,4,3,1,23,Male,Portugal
0,29585c16cb,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.49",3,3,3,1,2,1,3,1,1,2,2,2,0,1,0,1,2,2,1,4,2,1,27,Male,Italy
0,873774daa0,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36",1,4,0,0,3,2,2,2,0,0,4,4,0,1,3,4,2,0,4,4,3,1,37,Female,United Kingdom
0,eb6037ffa5,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0,2,3,2,2,1,3,1,4,0,0,3,3,0,1,2,2,2,1,2,4,2,2,26,Male,Netherlands
0,7566272fe6,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36",1,2,1,3,3,1,2,3,1,1,3,3,0,3,1,1,3,0,3,4,3,1,37,Male,Chile
0,87352e3023,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",1,3,3,3,1,1,2,3,3,0,4,3,0,2,1,2,3,1,3,4,3,2,25,Female,Italy
0,a583372b88,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",1,1,4,4,1,3,1,3,1,1,3,3,0,3,1,0,3,3,1,4,4,3,33,Male,United Kingdom
0,6927b53d53,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:88.0) Gecko/20100101 Firefox/88.0,4,4,1,2,3,3,2,3,3,3,2,3,0,2,2,0,4,1,3,4,3,1,40,Male,Poland
0,6f3896508b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",4,4,2,2,4,1,4,1,2,0,4,2,0,2,3,3,2,1,2,4,3,3,19,Male,Poland
0,ae4a95a0be,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",1,2,1,3,2,2,2,3,1,1,3,3,0,2,3,2,1,2,1,4,3,1,27,Male,France
0,708eaa4c84,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2,3,1,2,3,0,4,1,1,2,3,2,0,2,0,0,1,0,2,4,3,1,40,Male,Netherlands
0,afe59ad747,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",3,4,2,1,0,3,0,3,0,0,3,3,0,1,3,3,3,0,4,4,3,0,23,Male,Portugal
0,ba63ae8bf6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2,4,0,0,4,0,4,0,1,1,3,3,0,1,1,2,1,0,2,4,3,1,23,Male,Italy
